job_id,job_title,institution,department,location,posted_date,full_part_time,regular_temporary,salary,location_detail,about_us,job_summary,responsibilities,required_qualifications,preferred_qualifications,knowledge_skills_abilities,other_information,background_check,extra_sections,apply_link,posting_url,scraped_at
296018,Assistant Professor or Lecturer of Forestry,Abraham Baldwin Agri. College,Dept of Forest Resources,"Tifton, GA",03/09/2026,Full-Time,Regular,,"Tifton, GA",,"The Department of Forest Resources, housed within the School of Agriculture and Natural Resources, seeks applicants for an Assistant Professor or Lecturer of Forestry. This is a 10-month tenure track teaching position at the Assistant Professor level, or a 10-month non-tenure track position at the Lecturer level. The successful candidate will teach courses supporting the Bachelor of Science in Natural Resource Management and contribute to a highly applied, student-centered learning environment. Responsibilities include high-quality instruction, incorporating experiential and field-based learning, and developing partnerships with industry, community, and commodity organizations that enhance student engagement and readiness. The individual hired will also serve as an academic advisor to students in the departments programs, participate in administrative and service activities, serve as an advisor for mentored projects, and work effectively as a member of a faculty team to continually update and improve the content of degree programs in the department. Teaching assignments will depend on the successful candidates experience and departmental needs. Courses may include, but are not limited to Dendrology, Forest Measurements and Mapping, Intro to Forest Measurements, and Silviculture. Required Qualifications: Assistant Professor level shall have earned PhD in Forestry or closely related discipline; Lecturer level shall have an earned MS in Forestry or closely related discipline; Strong written and oral communication skills; Ability to use current instructional technologies to support teaching and learning; Demonstrated commitment to undergraduate education and student success; Ability to work effectively with students, faculty, staff, administrators, alumni, and external stakeholders; Demonstrated ability to engage industry and community partners in activities that enhance experiential learning, student engagement, and workforce preparation. Desired Qualifications: College-level teaching experience; Professional experience in forestry or a closely related field. Application Instructions: All applications are submitted electronically at the following web site: https://link.abac.edu/CAREERS. Candidates will submit a cover letter, curriculum vitae, teaching philosophy, transcripts (unofficial at time of application), and list of three references with complete contact information. Finalists will be required to submit official transcripts and three letters of reference. Review of applications will begin immediately and will continue until the position is filled. Employment Start Date: August 1, 2026 For additional information: Contact Dr. William Moore, Department Head, Department of Forest Resources, 229.391.4805 or wmoore@abac.edu",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=296018&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=296018&PostingSeq=1,2026-03-27T19:16:38.850070+00:00
280714,Part-time Bus Driver for Athletics & ABAC Events,Abraham Baldwin Agri. College,Business Office,"Tifton, GA",03/17/2026,Part-Time,Regular,,"Tifton, GA",,"Position Title: Part Time Bus Driver for ABAC Athletics and Events Description: This is a part-time, 12-month, staff position. The duties and responsibilities include but are not limited to the following: Driving Athletic Teams and College Event Teams to events on 51 and 40 passenger buses. CDL Passenger License. Mapping directions for travel. Overnight stays to certain events possible with tournaments, etc. Qualifications: Prior Bus or Large Vehicle Driving Experience with CDL Passenger License for Bus or Buses. Must pass background check or checks.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=280714&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=280714&PostingSeq=1,2026-03-27T19:16:40.870981+00:00
296546,Lecturer of Music and Director of Bands,Abraham Baldwin Agri. College,Fine Arts,"Tifton, GA",03/23/2026,Full-Time,Regular,,"Tifton, GA",,"The Department of Fine Arts within the School of Social Sciences, Education & Arts at Abraham Baldwin Agricultural College (ABAC) invites applications for the position of Lecturer of Music and Director of Bands, with appointment beginning August 1, 2026. This is a full-time, 10-month, non-tenure-track faculty position. The position will remain open until filled. Minimum qualifications include a masters degree in music or closely related field, with a minimum of 18 graduate credit hours in Music. Preferred qualifications include a doctorate in Music or closely related field, and college-level teaching experience. The successful candidate is expected to be adept at using various instructional technologies. Duties of this position include: Directing and supervising all aspects of the University Band program, including but not limited to: Concert Band, Community Band, and Pep Band. Collaborating with the Athletics Director during game operations meetings to develop game day performance schedules for athletic seasons as needed, and overseeing the pep band for scheduled game-day performances. Providing band music for all school events as needed, such as graduation ceremonies, 9/11 memorial service, and Veterans Day music tributes, along with other institutional and outreach events. Actively recruit and retain talented students for the music program and all ABAC academic programs. Work with faculty, staff, and administrators to promote the band program and create a positive learning environment. Engage in professional development activities and foster community outreach initiatives. Participate in departmental, school, and college events and meetings, and represent the band program at various functions. Manage the bands budget and inventory for instruments and uniforms and supervise all repairs and maintenance. Active participation in service to the department, school, and college. Serving as academic advisor to students in the Associate of Fine Arts in Music program as needed. Teaching a full academic load of music classes, including but not limited to: Music Appreciation, Music Theory, Sight-Singing, Applied Music (Lessons), Concert Band, etc. Faculty at ABAC are evaluated on their efforts in teaching, student success, scholarship, professional growth, and professional service. Abraham Baldwin Agricultural College is a residential state college located in Tifton, Georgia, and is named one of the best 100 small towns in America. The college offers associate and baccalaureate degrees and has an approximate enrollment of 4,000 students. The Department of Fine Arts is housed in the newly constructed Edwards Hall, an attractive building with excellent music facilities, and offers the Associate of Fine Arts in Music, the only degree of this type within the University System of Georgia. The Department also offers music, art, and theatre appreciation coursework in support of ABACs IMPACTS Core Curriculum. The Department also offers regular concerts/performances and thus plays a key role in bringing the arts to Tifton and the broader region. To apply, please locate the position on the ABAC Careers website (https://link.abac.edu/CAREERS), complete the online application, and upload the following materials: a cover letter explaining your qualifications and interest in the position, a current copy of your CV, copies of unofficial transcripts for all colleges/universities attended, and contact information for three professional references.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=296546&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=296546&PostingSeq=1,2026-03-27T19:16:43.020481+00:00
291449,"Adjunct Faculty, Clinical Nursing",Abraham Baldwin Agri. College,Academic Dean - Part Time Fac,ABAC Recruiting Location,10/10/2025,Part-Time,Temporary,,ABAC Recruiting Location,,"Professional nurse who has responsibility for assisting in the counseling and guidance of students through conducting instruction as assigned. The faculty member is responsible to the Course Coordinator. This is a part-time, non-benefitted position. MAJOR DUTIES Administrative Recognizes and informs Course Coordinator of existing or potential problems. Instructional Assists students in applying nursing theories and evidence-based practice principles in the areas of clinical, skills laboratory, and simulation. Supervises clinical experiences as assigned. Assists in evaluation materials as assigned. Assists in the preparation and implementation of clinical schedules. Serves as a role model for students in the professional, social, and civic arena. Other duties as assigned by the Dean of the School of Nursing and Health Sciences. KNOWLEDGE AND SKILLS REQUIRED BY THE POSITION Knowledge of Board of Regents policies and procedures Knowledge of state and national issues related to higher education and nursing Knowledge of supervisory principles and practices Effective Leadership skills Strong management skills Excellent communication skills, both verbal and written Time management skills Ability to prioritize and delegate responsibilities Operation of computer skills and job-related software programs and equipment as appropriate. SUPERVISORY CONTROLS Reports directly to the Dean, School of Nursing & Health Sciences GUIDELINES Follows all Board of Regents and the University Systems policies and procedures, ABACs College practices and policies, and ABAC School of Nursing Policies. Abides by all Georgia Board of Nursing policies and procedures Adheres to all policies and procedures required to maintain accreditation through the Accreditation Commission for Education in Nursing Adheres to all policies and procedures required by the healthcare facility in which the faculty member is assigned to perform clinical rotations. COMPLEXITY/SCOPE OF WORK Consists of management duties Requires strong leadership and supervisory skills CONTACTS Daily with nursing students as assigned per work schedule. Maintains contact with school dean, course coordinator, faculty and staff co-workers. PHYSICAL DEMANDS/ WORK ENVIRONMENT Work is typically performed while intermittently sitting, standing, or stooping May need to lift or move light objects Work is usually performed in a healthcare facility or laboratory/simulation setting MINIMUM QUALIFICATIONS Education Bachelors Degree in Nursing License Current unencumbered license to practice as a registered nurse in the State of Georgia Competency Verification of clinical nursing skills validity upon hire and as required by healthcare agency partners.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=291449&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=291449&PostingSeq=1,2026-03-27T19:16:45.027857+00:00
291201,Police Officer,Abraham Baldwin Agri. College,Public Safety,"Tifton, GA",10/06/2025,Full-Time,Regular,,"Tifton, GA",,"Position Summary : The Police Officer is responsible for maintaining a safe and secure environment for all members of the campus community. This position enforces local, state, and federal laws, as well as campus policies and procedures, while demonstrating a commitment to community policing and positive public engagement. Long Description : Under the general supervision of the Police Sergeant or higher-ranking officer, the Police Officer patrols assigned areas on foot or in a vehicle to ensure the safety and security of campus property, students, staff, and visitors. Duties include responding to emergencies and calls for service, conducting investigations, preparing incident reports, enforcing laws and regulations, and participating in crime prevention and safety education programs. The officer must exercise sound judgment, maintain professionalism under pressure, and exhibit a strong sense of ethics and integrity. The role requires effective communication and collaboration with diverse campus and local community members. This position may require working irregular hours, including nights, weekends, holidays, and during emergency situations. Required Qualifications : Must meet all qualifications for certification as a peace officer under the Georgia Peace Officers Standards and Training Act, as established by the Georgia Peace Officers Standards and Training (POST) Council. Desired Qualifications : · Certified or certifiable as a law enforcement officer in the State of Georgia, or eligible to attend and successfully complete basic law enforcement training at the Georgia Public Safety Training Center (GPSTC). · Prior law enforcement experience preferred, particularly in a campus or community policing environment. · Associates or Bachelors degree in Criminal Justice, Public Safety, or a related field is desirable. · Knowledge of Georgia criminal laws, investigative procedures, and emergency response protocols. · Excellent interpersonal, verbal, and written communication skills. · Ability to work independently and collaboratively in a diverse campus setting. · Strong commitment to community policing and student-centered service. · Valid Georgia drivers license with a satisfactory driving record.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=291201&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=291201&PostingSeq=1,2026-03-27T19:16:47.344453+00:00
289916,"Adjunct Faculty, Physics/Physical Science",Abraham Baldwin Agri. College,Academic Dean - Part Time Fac,ABAC Recruiting Location,08/29/2025,Part-Time,Temporary,,ABAC Recruiting Location,,"ABAC¿s Department of Natural Sciences is home to an interdisciplinary group of scholars who work together to offer courses in support of our USG-approved Core Curriculum and the Biology B.S. degree. We seek qualified adjunct faculty to staff courses in Physics and Physical Science Part-time, temporary, adjunct faculty may instruct one or two courses a semester on an as-needed basis. These courses may be offered in a traditional format or online depending upon the need. The School of Nursing, Health, and Natural Sciences offers courses both at ABAC¿s main site in Tifton and at the instructional site in Bainbridge. Applicants interested in teaching at either site are welcome to apply. Required Qualifications: -Master¿s degree with a minimum of 18 credits of graduate coursework in physics, physical science or related discipline. Preferred Qualifications: -Evidence of successful teaching of college-level courses preferred.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=289916&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=289916&PostingSeq=1,2026-03-27T19:16:49.377057+00:00
289795,Assistant Professor of Agricultural Education,Abraham Baldwin Agri. College,Dept of Ag Ed & Communication,"Tifton, GA",08/26/2025,Full-Time,Regular,,"Tifton, GA",,"Title : Assistant Professor of Agricultural Education Department : Agricultural Education and Communication Job Category : Faculty, Tenure track Regular/Temporary : Regular About the College Abraham Baldwin Agricultural College (ABAC) is a state college in the University System of Georgia with two instructional sites in Southwest Georgia. ABACs mission is to provide excellent education by engaging, teaching, coaching, mentoring, and providing relevant experiences that prepare the graduate for life. The main campus is in Tifton, Georgia. Tifton is a progressive community known for its quality-of-life environment and has been recognized as one of the 100 Best Small Towns in America. The college has a student body of approximately 4,000 students and a teaching faculty of approximately 135. The School of Agriculture and Natural Resources is one of four schools and offers seven of the colleges 14 Bachelor of Science degrees. The schools enrollment is approximately 40% of the colleges total enrollment and has approximately 50 faculty and staff. The Department of Agricultural Education and Communication is one of three departments within the school. It has a total enrollment of approximately 325 students, two-degree programs (BS in Agricultural Communication and Agricultural Education) and two locations (Bainbridge and Tifton) and has a total of seven faculty and staff. Position Summary The Department of Agricultural Education and Communication, housed within the School of Agriculture and Natural Resources, seeks applicants for an Assistant Professor in Agricultural Education. This is a 10-month tenure-accruing position in Tifton, Georgia. The successful candidate will teach undergraduate courses in Agricultural Education, supervise student teaching interns, and participate in supporting and assessing program components that lead to teacher certification; advise students and student organizations; engage in scholarly activities; engage in service activities; develop partnerships with commodity and industry organizations; work effectively as a member of a faculty team to continually update and improve the content of courses and degree programs in the department; and contribute to the Departments overall goals in excellent teaching and scholarship. In addition, the successful candidate will work with the community and college on initiatives and activities that enhance the student learning experience and community relationships and promote student engagement. Given the hands-on and community-based nature of Agricultural Education, participation in events such as FFA and the Georgia Vocational Agriculture Teachers Association is expected. Specific assignments will depend on the successful candidates experience, and area of interest. Required Qualifications An earned doctorate from an accredited institution in Agricultural Education or closely related discipline (must have completed all requirements for the doctorate by start date of employment). A minimum of three years of successful teaching experience in agriculture at the middle or high school level. Strong written and oral communication skills. Ability to use current technology in support of instructional activities. Primary interest in and firm commitment to undergraduate education. The ability to work effectively with faculty, staff, students, alumni, and stakeholders. Demonstrated ability to work with school-based agricultural education programs, state-level agricultural education and FFA programs, and related groups and agencies in developing and promoting activities that enhance student learning experiences. Passion to promote student engagement and enhance community and industry relationships. Desired Qualifications Successful experience in college-level teaching and student advisement. Experience in a teacher induction program, curriculum development, and teacher professional development. A record of successful extramural funding and/or scholarly activities. Application Instructions: Candidates will submit a cover letter, Curriculum Vitae, philosophy of teaching, copy of transcripts, and a list of three references. Finalists will be required to submit official transcripts and three letters of reference. Review of applications will begin October 15, 2025, and will continue until the position is filled. Desired Start Date: January 1, 2026 For additional information: Contact Dr. Sallie McHugh, Department Head, Department of Agricultural Education and Communication, 229-391-4798 or smchugh@abac.edu",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=289795&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=289795&PostingSeq=1,2026-03-27T19:16:51.513114+00:00
287214,Catering Assistant - ABAC Dining Hall,Abraham Baldwin Agri. College,Dining Hall-Contracted,"Tifton, GA",06/27/2025,Part-Time,Regular,,"Tifton, GA",,"The Catering Assistant position will be responsible for serving meals at many kinds of events. Their typical duties include: Preparing and storing food safely before and during events. Setting up all tables and food service areas with chairs, linens, and dishes. Serving food to guests at events. Cleaning up and tearing down the dining area by removing all tableware, linens, garbage, and furniture. Responsible for assisting in coordinating, correctly setting up, and implementing catering events. Ensures high-quality food products are delivered and served to patrons in a professional and timely manner. Responsible for following state and local health laws pertaining to the storage, handling, preparation, and dispensing of food and beverages. When there aren¿t any catering events, you will be asked to fill in other different positions in the Dining Hall. Knowledge, Skills, and Abilities Required: GED or High School Diploma required. Approximately three to six months of previous food and beverage experience to gain an understanding of food preparation, sales, and customer service. Must be able to deal with patrons in a tactful and discretionary manner. Ability to be enthusiastic and responsive to customer needs and portray a positive image of the school. Available positions are 29 hours per week, partially benefitted, and 10-month.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287214&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287214&PostingSeq=1,2026-03-27T19:16:53.588585+00:00
287218,Cook - ABAC Dining Hall,Abraham Baldwin Agri. College,Dining Hall-Contracted,"Tifton, GA",06/27/2025,Full-Time,Regular,,"Tifton, GA",,"Cook 1- entry level (prior experience and training preferred) Cook 2- (3 plus years experience preferred) Available positions are either 19 hour s per week non-benefitted, 29 hour s per week partially benefitted, or 40 hour s per week fully benefitted. The majority of the positions available are 10-month. **Training will be provided on the job** Heath Safety Requirements -We prefer all cooks to be serve-safe certified and possess the ability to display the following qualifications: -Must be knowledgeable about various types of time-temperature abuse and how to prevent it. -Must be knowledgeable about various types of personal protective equipment commonly used in commercial kitchens. -Must possess the ability to demonstrate safe knife handling. -Must be able to demonstrate proper body mechanics. - Must contribute to a clean, safe, and healthy working environment. -Must be knowledgeable concerning proper cooking temperatures of all food products. Technical Requirements -Must be knowledgeable about standard volume measurements and possess the ability to convert between units. -Must demonstrate ability to follow and convert recipes. -Must be knowledgeable of various types of commercial cooking equipment including but not limited to steam-jacketed kettles, Tilt Skillets, Convection ovens, Deep Fryers, Flat-top Grills, Steamers, Steam Tables, Gas Ranges and Roast-and-hold ovens. -Must be able to organize and execute food services for short-order, banquet, and cafeteria-style dining. Fiscal Requirements -Must ensure strict adherence to all pre-organized recipes, production lists, and menus. -Must accurately record usage, overage and waste data on appropriate sheets or electronic devices. -Must make managers aware of any reoccurring waste and contribute ideas to correct waste issues. Behavioral Requirements -Must always conduct him or herself in an outwardly professional manner paying strict observance to company behavioral standards. -Must communicate to all internal/external customers with a respectful tone and manner that contributes to an environment of trust and safety. -Must display the ability to be empathetic to staff members when things do not go as planned. -Must display the ability to positively coach staff on areas that they are struggling with. - Must display calm, quick, and accurate reactions to common foodservice problems. Physical Requirements - Must be able to work flexible hours depending on the time of events or deliveries including nights, weekends, and holidays. -Must be able to stand at length for multiple hours at a time without sitting. -Must be able to correctly lift 50 lbs. at a time unassisted. -Must be able to endure intermittent working temperatures range from 20* below freezing to 125*F. Educational Requirements -GED or High School Diploma required . Any prior work experience, especially pertaining to the food service industry is preferred and should be listed on your resume.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287218&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287218&PostingSeq=1,2026-03-27T19:16:55.578091+00:00
287217,Food Service Aid - ABAC Dining Hall,Abraham Baldwin Agri. College,Dining Hall-Contracted,"Tifton, GA",06/27/2025,Part-Time,Regular,,"Tifton, GA",,"Food Service Aid (FSA) Position Summary: The Food Service Aid is an employee of Abraham Baldwin Agricultural College and the University System of Georgia responsible for performing routine tasks related to the food service area within the ABAC Dining Services area. These duties may include but arent limited to preparing fresh food items, cashiering, serving, washing dishes, stocking, or trash removal. Your managers are charged with training you and using your existing skills and knowledge to provide exceptional customer care at every point of contact with our students, faculty, staff, guests, and representatives. Basic characteristics of this position include: Excellent Customer Service for our guests and our teammates, keeping kitchen and dining room areas clean and neat, ability to work in a standing position for 4 or more hours at a time, ability to bend, squat, climb a step stool, and properly lift 50 lbs. unassisted. Attendance and timeliness are extremely important for our team. Each member of our staff must have reliable transportation to work and be able to maintain their schedules as posted to the best of their ability. We are here to make you successful. Our management team will attempt to work with and adapt to the best of our ability with our employees personal schedules, needs, emergencies and life goals as they arise. Available positions are either 19 hours per week non-benefited, 29 hour per week partially benefited, or 40 hour per week fully benefited. The majority of the positions available are 10-month. GED or High School Diploma required . Any prior work experience, especially pertaining to the food service industry is preferred and should be listed on your resume.",,,,,,,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287217&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=287217&PostingSeq=1,2026-03-27T19:16:57.636233+00:00
